World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
245Top 1.2%,Lomonosov Moscow State University,Russia,1,127,401,213,270,78.0
246Top 1.2%,University of Cincinnati,USA,77,519,315,-,208,77.9
247Top 1.2%,Hokkaido University,Japan,9,364,232,170,285,77.9
248Top 1.2%,Charles University in Prague,Czech Republic,1,333,1289,-,196,77.9
249Top 1.2%,King Abdulaziz University,Saudi Arabia,2,-,1438,-,193,77.9
250Top 1.2%,University of Missouri–Columbia,USA,78,445,247,90,350,77.9
251Top 1.2%,University of Leicester,United Kingdom,21,-,1240,97,303,77.8
252Top 1.2%,KAIST,South Korea,5,-,142,-,235,77.8
253Top 1.2%,Complutense University of Madrid,Spain,3,223,194,228,274,77.8
254Top 1.2%,University of Illinois at Chicago,USA,79,518,818,286,205,77.8
255Top 1.2%,Shenzhen University,China,37,-,797,-,201,77.8
256Top 1.2%,Université libre de Bruxelles,Belgium,4,468,422,179,266,77.8
257Top 1.2%,University of Lille,France,15,-,-,-,202,77.7
258Top 1.3%,Karlsruhe Institute of Technology,Germany,20,485,265,-,217,77.7
259Top 1.3%,Trinity College Dublin,Ireland,1,214,88,256,318,77.7
260Top 1.3%,Northwestern Polytechnical University,China,38,-,558,-,211,77.7
261Top 1.3%,University of Exeter,United Kingdom,22,414,892,-,204,77.7
262Top 1.3%,University of Texas Health Science Center at Houston,USA,80,-,-,151,283,77.6
263Top 1.3%,University of Sussex,United Kingdom,23,120,603,88,383,77.6
264Top 1.3%,Maastricht University,Netherlands,9,-,1295,-,207,77.6
265Top 1.3%,Kyushu University,Japan,10,251,138,-,254,77.6
266Top 1.3%,China Europe International Business School,China,39,-,5,-,-,77.6
267Top 1.3%,University of Houston,USA,81,-,182,131,360,77.6
268Top 1.3%,"University of California, Riverside",USA,82,403,-,219,258,77.5
269Top 1.3%,Delft University of Technology,Netherlands,10,271,456,-,226,77.5
270Top 1.3%,Yeshiva University,USA,83,95,-,204,307,77.5
271Top 1.3%,Wake Forest University,USA,84,-,70,-,343,77.5
272Top 1.3%,Beijing Normal University,China,40,-,1273,-,218,77.5
273Top 1.3%,Virginia Commonwealth University,USA,85,-,949,126,322,77.4
274Top 1.3%,University of Florence,Italy,7,-,741,-,221,77.4
275Top 1.3%,University of Cape Town,South Africa,1,186,201,-,253,77.4
276Top 1.3%,Colorado State University,USA,86,463,1464,199,277,77.4
277Top 1.3%,University of Auckland,New Zealand,1,527,427,-,231,77.4
278Top 1.3%,Leipzig University,Germany,21,215,-,215,281,77.4
279Top 1.3%,Oregon Health & Science University,USA,87,-,-,-,225,77.3
280Top 1.4%,University of Lorraine,France,16,555,496,181,297,77.3
281Top 1.4%,Virginia Tech,USA,88,523,339,-,238,77.3
282Top 1.4%,National Autonomous University of Mexico,Mexico,1,419,1646,244,262,77.3
283Top 1.4%,University of Reading,United Kingdom,24,104,148,114,466,77.3
284Top 1.4%,George Washington University,USA,89,410,132,-,286,77.3
285Top 1.4%,Medical University of Vienna,Austria,2,-,-,-,232,77.2
286Top 1.4%,University of Genoa,Italy,8,551,1124,253,264,77.2
287Top 1.4%,National and Kapodistrian University of Athens,Greece,1,-,580,-,240,77.2
288Top 1.4%,University of Pisa,Italy,9,334,1239,-,237,77.2
289Top 1.4%,University of Southern Denmark,Denmark,4,-,1693,-,236,77.2
290Top 1.4%,The Scripps Research Institute,USA,90,-,-,36,487,77.2
291Top 1.4%,Oregon State University,USA,91,235,527,223,301,77.1
292Top 1.4%,University of the Witwatersrand,South Africa,2,218,97,-,349,77.1
293Top 1.4%,China Agricultural University,China,41,-,1378,-,242,77.1
294Top 1.4%,University of Tsukuba,Japan,11,-,1620,156,348,77.1
295Top 1.4%,University of Manitoba,Canada,11,335,335,196,335,77.1
296Top 1.4%,University of Antwerp,Belgium,5,508,423,-,256,77.1
297Top 1.4%,University of Liège,Belgium,6,192,1681,106,395,77.0
298Top 1.4%,University of Valencia,Spain,4,-,1561,-,247,77.0
299Top 1.4%,University College Dublin,Ireland,2,-,307,-,265,77.0
300Top 1.4%,Peking Union Medical College,China,42,-,-,-,249,77.0
301Top 1.5%,Southern University of Science and Technology,China,43,-,-,-,250,77.0
302Top 1.5%,University of Porto,Portugal,2,553,805,-,251,77.0
303Top 1.5%,University of Bergen,Norway,3,300,-,-,255,76.9
304Top 1.5%,University of Science and Technology Beijing,China,44,-,188,-,289,76.9
305Top 1.5%,Laval University,Canada,12,536,370,-,268,76.9
306Top 1.5%,Capital Medical University,China,45,-,-,-,257,76.9
307Top 1.5%,Washington State University,USA,92,-,1092,184,338,76.9
308Top 1.5%,Florida State University,USA,93,-,509,-,269,76.9
309Top 1.5%,Lanzhou University,China,46,-,951,-,261,76.9
310Top 1.5%,Autonomous University of Madrid,Spain,5,-,1155,-,260,76.8
311Top 1.5%,Hanyang University,South Korea,6,-,220,-,292,76.8
312Top 1.5%,East China Normal University,China,47,-,334,-,279,76.8
313Top 1.5%,"University of Maryland, Baltimore",USA,94,-,-,-,263,76.8
314Top 1.5%,University of Technology Sydney,Australia,9,-,835,-,271,76.8
315Top 1.5%,University of Duisburg-Essen,Germany,22,-,867,-,272,76.8
316Top 1.5%,UMass Chan Medical School,USA,95,-,-,86,446,76.7
317Top 1.5%,University of Oklahoma,USA,96,-,476,-,278,76.7
318Top 1.5%,University of Rennes,France,17,-,-,-,273,76.7
319Top 1.5%,University of East Anglia,United Kingdom,25,93,-,174,411,76.7
320Top 1.5%,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,2,36,-,129,649,76.7
321Top 1.5%,University of Kentucky,USA,97,304,535,-,284,76.7
322Top 1.6%,University at Buffalo,USA,98,492,600,-,282,76.7
323Top 1.6%,University of South Florida,USA,99,-,873,-,280,76.6
